,New_cases,New_cases,New_cases,New_cases,New_cases,New_cases,New_cases,New_cases,New_cases,New_cases,New_cases,New_cases,New_deaths,New_deaths,New_deaths,New_deaths,New_deaths,New_deaths,New_deaths,New_deaths,New_deaths,New_deaths,New_deaths,New_deaths
Month,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
Year,,,,,,,,,,,,,,,,,,,,,,,,
2020,0,0,0,857163,755116,821191,1884228,1524538,1201705,1815557,4374916,6170028,0,0,0,57134,44864,22925,28717,31831,21361,23448,41105,77292
2021,6285448,2467058,1776581,1832202,981676,385721,1373312,4114589,4185050,2660463,2444998,5449603,100119,67730,33397,20768,17442,9459,9045,31496,54691,48578,31309,43017
2022,20444764,4380740,1022157,1163440,2698000,3066561,3922935,2879420,1858371,1204618,1125356,2111048,65001,63682,27637,13263,9953,9885,13117,13716,12795,11815,9574,12963
2023,1522698,1085170,678002,568838,170425,0,0,0,0,0,0,0,14578,12111,7909,7009,3089,0,0,4463,5148,972,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2020,1,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,
,3,,new_cases,,,new_deaths,,,,,,,,,,,,,,,,,,
,4,,Apr-20,857163,,Apr-20,57134,,,,,,,,,,,,,,,,,
,5,,May-20,755116,,May-20,44864,,,,,,,,,,,,,,,,,
,6,,Jun-20,821191,,Jun-20,22925,,,,,,,,,,,,,,,,,
,7,,Jul-20,1884228,,Jul-20,28717,,,,,,,,,,,,,,,,,
,8,,Aug-20,1524538,,Aug-20,31831,,,,,,,,,,,,,,,,,
,9,,Sep-20,1201705,,Sep-20,21361,,,,,,,,,,,,,,,,,
,10,,Apr-21,1832202,,Apr-21,20768,,,,,,,,,,,,,,,,,
,11,,May-21,981676,,May-21,17442,,,,,,,,,,,,,,,,,
,12,,Jun-21,385721,,Jun-21,9459,,,,,,,,,,,,,,,,,
2021,1,,Jul-21,1373312,,Jul-21,9045,,,,,,,,,,,,,,,,,
,2,,Aug-21,4114589,,Aug-21,31496,,,,,,,,,,,,,,,,,
,3,,Sep-21,4185050,,Sep-21,54691,,,,,,,,,,,,,,,,,
,4,,Apr-22,1163440,,Apr-22,13263,,,,,,,,,,,,,,,,,
,5,,May-22,2698000,,May-22,9953,,,,,,,,,,,,,,,,,
,6,,Jun-22,3066561,,Jun-22,9885,,,,,,,,,,,,,,,,,
,7,,Jul-22,3922935,,Jul-22,13117,,,,,,,,,,,,,,,,,
,8,,Aug-22,2879420,,Aug-22,13716,,,,,,,,,,,,,,,,,
,9,,Sep-22,1858371,,Sep-22,12795,,,,,,,,,,,,,,,,,
,10,,Apr-23,568838,,Apr-23,7009,,,,,,,,,,,,,,,,,
,11,,May-23,170425,,May-23,3089,,,,,,,,,,,,,,,,,
,12,,Jun-23,0,,Jun-23,0,,,,,,,,,,,,,,,,,
2022,1,,Jul-23,0,,Jul-23,0,,,,,,,,,,,,,,,,,
,2,,Aug-23,0,,Aug-23,4463,,,,,,,,,,,,,,,,,
,3,,Sep-23,0,,Sep-23,5148,,,,,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,,,,,
,6,,,,,,,,,,,,,,,,,,,,,,,
,7,,,,,,,,,,,,,,,,,,,,,,,
,8,,,,,,,,,,,,,,,,,,,,,,,
,9,,,,,,,,,,,,,,,,,,,,,,,
,10,,,,,,,,,,,,,,,,,,,,,,,
,11,,,,,,,,,,,,,,,,,,,,,,,
,12,,,,,,,,,,,,,,,,,,,,,,,
2023,1,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,,,,,
,6,,,,,,,,,,,,,,,,,,,,,,,
,7,,,,,,,,,,,,,,,,,,,,,,,
,8,,,,,,,,,,,,,,,,,,,,,,,
,9,,,,,,,,,,,,,,,,,,,,,,,
,10,,,,,,,,,,,,,,,,,,,,,,,